name,type,value,date
北京,京津冀,5,1969
北京,京津冀,10.7,1970
北京,京津冀,15.6,1971
北京,京津冀,22.8,1972
北京,京津冀,25,1973
北京,京津冀,27.2,1974
北京,京津冀,29.4,1975
北京,京津冀,31.6,1976
北京,京津冀,33.8,1977
北京,京津冀,36,1978
北京,京津冀,38.2,1979
北京,京津冀,39.2,1980
北京,京津冀,40.2,1981
北京,京津冀,41.2,1982
北京,京津冀,42.2,1983
北京,京津冀,42.3,1984
北京,京津冀,42.4,1985
北京,京津冀,42.5,1986
北京,京津冀,42.6,1987
北京,京津冀,42.7,1988
北京,京津冀,43,1989
北京,京津冀,44,1990
北京,京津冀,45,1991
北京,京津冀,46,1992
北京,京津冀,47,1993
北京,京津冀,48,1994
北京,京津冀,49,1995
北京,京津冀,50,1996
北京,京津冀,51,1997
北京,京津冀,52,1998
北京,京津冀,53,1999
北京,京津冀,58,2000
北京,京津冀,63,2001
北京,京津冀,73,2002
北京,京津冀,94,2003
北京,京津冀,113,2004
北京,京津冀,123,2005
北京,京津冀,133,2006
北京,京津冀,142,2007
北京,京津冀,199,2008
北京,京津冀,228,2009
北京,京津冀,336,2010
北京,京津冀,372,2011
北京,京津冀,442,2012
北京,京津冀,456,2013
北京,京津冀,527,2014
北京,京津冀,550,2015
北京,京津冀,574,2016
北京,京津冀,608,2017
北京,京津冀,638,2018
上海,长三角,4,1993
上海,长三角,5,1994
上海,长三角,16,1995
上海,长三角,21,1996
上海,长三角,22,1997
上海,长三角,23,1998
上海,长三角,37,1999
上海,长三角,64,2000
上海,长三角,65,2001
上海,长三角,66,2002
上海,长三角,81,2003
上海,长三角,93,2004
上海,长三角,93,2005
上海,长三角,110,2006
上海,长三角,146,2007
上海,长三角,146,2008
上海,长三角,196,2009
上海,长三角,400,2010
上海,长三角,410,2011
上海,长三角,420,2012
上海,长三角,454,2013
上海,长三角,454,2014
上海,长三角,588,2015
上海,长三角,588,2016
上海,长三角,617,2017
上海,长三角,673,2018
广州,珠三角,6,1997
广州,珠三角,12,1998
广州,珠三角,18.5,1999
广州,珠三角,19.5,2000
广州,珠三角,20.5,2001
广州,珠三角,27.4,2002
广州,珠三角,37,2003
广州,珠三角,37,2004
广州,珠三角,53,2005
广州,珠三角,116,2006
广州,珠三角,117,2007
广州,珠三角,118,2008
广州,珠三角,133.86,2009
广州,珠三角,236,2010
广州,珠三角,237,2011
广州,珠三角,238,2012
广州,珠三角,239,2013
广州,珠三角,260,2014
广州,珠三角,260,2015
广州,珠三角,308,2016
广州,珠三角,390,2017
广州,珠三角,391.7,2018
武汉,华中,10.2,2004
武汉,华中,11.2,2005
武汉,华中,12.2,2006
武汉,华中,13.2,2007
武汉,华中,14.2,2008
武汉,华中,15.2,2009
武汉,华中,28.9,2010
武汉,华中,28.9,2011
武汉,华中,57,2012
武汉,华中,57,2013
武汉,华中,61,2014
武汉,华中,94,2015
武汉,华中,114,2016
武汉,华中,181,2017
武汉,华中,237,2018
天津,京津冀,5.2,1980
天津,京津冀,6.2,1981
天津,京津冀,7.2,1982
天津,京津冀,7.3,1983
天津,京津冀,7.4,1984
天津,京津冀,7.4,1985
天津,京津冀,7.4,1986
天津,京津冀,7.4,1987
天津,京津冀,7.4,1988
天津,京津冀,7.4,1989
天津,京津冀,7.4,1990
天津,京津冀,7.4,1991
天津,京津冀,7.4,1992
天津,京津冀,7.4,1993
天津,京津冀,6.4,1994
天津,京津冀,5.4,1995
天津,京津冀,4.4,1996
天津,京津冀,3.4,1997
天津,京津冀,2.4,1998
天津,京津冀,1.4,1999
天津,京津冀,0,2000
天津,京津冀,0,2001
天津,京津冀,0,2002
天津,京津冀,0,2003
天津,京津冀,44.6,2004
天津,京津冀,44.6,2005
天津,京津冀,72,2006
天津,京津冀,73,2007
天津,京津冀,74,2008
天津,京津冀,75,2009
天津,京津冀,76,2010
天津,京津冀,76.6,2011
天津,京津冀,103,2012
天津,京津冀,110,2013
天津,京津冀,137,2014
天津,京津冀,157,2015
天津,京津冀,157,2016
天津,京津冀,160,2017
天津,京津冀,185,2018
南京,长三角,38.9,2005
南京,长三角,39.9,2006
南京,长三角,40.9,2007
南京,长三角,41.9,2008
南京,长三角,42.9,2009
南京,长三角,77,2010
南京,长三角,78,2011
南京,长三角,79,2012
南京,长三角,80,2013
南京,长三角,181,2014
南京,长三角,200,2015
南京,长三角,225,2016
南京,长三角,300,2017
南京,长三角,378,2018
深圳,珠三角,20,2004
深圳,珠三角,21,2005
深圳,珠三角,22,2006
深圳,珠三角,23,2007
深圳,珠三角,24,2008
深圳,珠三角,27,2009
深圳,珠三角,67,2010
深圳,珠三角,185,2011
深圳,珠三角,196,2012
深圳,珠三角,207,2013
深圳,珠三角,218,2014
深圳,珠三角,229,2015
深圳,珠三角,285,2016
深圳,珠三角,285,2017
深圳,珠三角,285,2018
香港,港澳台,13.8,1979
香港,港澳台,14.8,1980
香港,港澳台,15.8,1981
香港,港澳台,30,1982
香港,港澳台,71,1983
香港,港澳台,80,1984
香港,港澳台,87,1985
香港,港澳台,97,1986
香港,港澳台,107,1987
香港,港澳台,126,1988
香港,港澳台,127,1989
香港,港澳台,128,1990
香港,港澳台,129,1991
香港,港澳台,130,1992
香港,港澳台,131,1993
香港,港澳台,132,1994
香港,港澳台,133,1995
香港,港澳台,134,1996
香港,港澳台,135,1997
香港,港澳台,189,1998
香港,港澳台,190,1999
香港,港澳台,191,2000
香港,港澳台,192,2001
香港,港澳台,201,2002
香港,港澳台,217,2003
香港,港澳台,218,2004
香港,港澳台,219,2005
香港,港澳台,220,2006
香港,港澳台,221,2007
香港,港澳台,222,2008
香港,港澳台,223,2009
香港,港澳台,224,2010
香港,港澳台,225,2011
香港,港澳台,226,2012
香港,港澳台,227,2013
香港,港澳台,228,2014
香港,港澳台,229,2015
香港,港澳台,230,2016
香港,港澳台,231,2017
香港,港澳台,231,2018
重庆,西南,31,2005
重庆,西南,41,2006
重庆,西南,51,2007
重庆,西南,61,2008
重庆,西南,71,2009
重庆,西南,81,2010
重庆,西南,126,2011
重庆,西南,190,2012
重庆,西南,206,2013
重庆,西南,207,2014
重庆,西南,208,2015
重庆,西南,213,2016
重庆,西南,213,2017
